Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.7%,,16039,Below Threshold,"$5,448",1.5-3%,76,Moderate,Lebanon,,,5220,"$4,688",$19B,10.0%,$546,,0.015,7%,0.166,77,74,22%,1,0.284,0.643,0.072,3.5M,86.2%,Middle East,$4B,$3B,12/1/2002
2.3%,,25471,Below Threshold,"$8,685",1.5-3%,73,Very Friendly,Oman,,,8818,"$4,688",$20B,3.2%,$278,,0.013,7%,0.085,75,71,20%,1,0.366,0.609,0.024,2.3M,71.5%,Middle East,$1B,$1B,12/1/2002
1.8%,,28482,Below Threshold,"$30,749",1.5-3%,77,Very Friendly,Qatar,,,13711,"$28,128",$19B,2.7%,$833,,0.01,10%,,78,76,42%,1,0.268,0.716,0.016,0.6M,96.7%,Middle East,$0B,$0B,12/1/2002
2.5%,,326407,Below Threshold,"$8,660",1.5-3%,73,Very Friendly,Saudi Arabia,,,116953,"$4,688",$189B,4.3%,$375,,0.018,6%,,75,71,23%,1,0.368,0.598,0.034,21.8M,80.3%,Middle East,,$7B,12/1/2002
2.9%,,39068,Below Threshold,"$1,270",1.5-3%,74,Low,Syria,,,16735,$0,$22B,4.9%,$57,,0.018,2%,0.09,76,72,2%,1,0.4,0.567,0.034,17.0M,52.7%,Middle East,$1B,$1B,12/1/2002
1.6%,,84704,Below Threshold,"$34,119",1.5-3%,75,Very Friendly,United Arab Emirates,,,40578,"$32,816",$110B,2.7%,$917,,0.009,28%,,76,74,75%,1,0.243,0.746,0.01,3.2M,81.1%,Middle East,$1B,$4B,12/1/2002
3.8%,,15764,Below Threshold,$576,Above 3%,61,Not Clustered,Yemen,,,5100,$0,$11B,4.2%,$27,,0.064,1%,0.177,62,60,3%,1,0.476,0.497,0.028,18.6M,27.3%,Middle East,$0B,$0B,12/1/2002
,,,Below Threshold,,Above 3%,,Not Clustered,American Samoa,,,,,,,,,,,,,,4%,1,,,,0.1M,88.4%,Oceania,,,12/1/2002
1.3%,,341002,Below Threshold,"$20,049",Below 1.5%,80,Very Friendly,Australia,,,109461,"$18,752",$394B,8.4%,"$1,847",,0.005,,0.082,83,77,64%,1,0.204,0.67,0.126,19.7M,87.5%,Oceania,$14B,$8B,12/1/2002
2.4%,,836,Below Threshold,"$2,258",1.5-3%,68,Friendly,Fiji,,,,$0,$2B,3.5%,$79,,0.02,6%,0.081,71,65,11%,1,0.334,0.629,0.037,0.8M,48.7%,Oceania,$0B,$0B,12/1/2002
1.9%,,737,Below Threshold,,1.5-3%,73,Not Clustered,French Polynesia,,,,,,,,,,8%,,76,70,21%,1,0.303,0.652,0.045,0.2M,55.9%,Oceania,$0B,$0B,12/1/2002
2.1%,,,Below Threshold,,1.5-3%,76,Not Clustered,Guam,,,,,,,,,,31%,,78,73,45%,1,0.302,0.641,0.058,0.2M,93.3%,Oceania,,,12/1/2002
2.7%,,40,Below Threshold,$842,1.5-3%,66,Moderate,Kiribati,,,,$0,$0B,8.8%,$76,,0.052,3%,,68,63,1%,1,0.389,0.576,0.035,0.1M,43.5%,Oceania,,,12/1/2002
,,84,Above Threshold,"$2,391",Above 3%,,Moderate,Marshall Islands,,,,$0,$0B,18.2%,$418,,0.033,2%,,,,1%,1,,,,0.1M,69.0%,Oceania,$0B,$0B,12/1/2002
2.8%,,147,Below Threshold,"$2,258",1.5-3%,68,Low,"Micronesia, Fed. Sts.",,,,$0,$0B,7.9%,$178,,0.04,6%,0.153,68,67,0%,1,0.395,0.566,0.039,0.1M,22.3%,Oceania,$0B,$0B,12/1/2002
1.9%,,2428,Below Threshold,,1.5-3%,75,Not Clustered,New Caledonia,,,,,,,,,,22%,,79,71,37%,1,0.281,0.657,0.062,0.2M,62.6%,Oceania,$0B,$0B,12/1/2002
1.4%,,33201,Below Threshold,"$16,721",Below 1.5%,79,Very Friendly,New Zealand,,,17119,"$14,064",$66B,8.0%,"$1,244",,0.006,59%,0.072,81,77,62%,1,0.223,0.659,0.118,3.9M,85.9%,Oceania,$3B,$1B,12/1/2002
3.4%,,3513,Below Threshold,$530,Above 3%,60,Moderate,Papua New Guinea,,,,$0,$3B,4.6%,$24,,0.057,1%,0.139,62,57,0%,1,0.402,0.573,0.025,5.7M,13.2%,Oceania,$0B,$0B,12/1/2002
3.0%,,143,Below Threshold,"$1,454",Above 3%,70,Friendly,Samoa,,,,$0,$0B,5.5%,$83,,0.018,2%,0.114,73,67,2%,1,0.404,0.55,0.046,0.2M,21.9%,Oceania,$0B,,12/1/2002
3.5%,,172,Below Threshold,$786,Above 3%,65,Friendly,Solomon Islands,,,,$0,$0B,6.1%,$48,,0.029,1%,0.146,66,63,0%,1,0.416,0.555,0.029,0.4M,16.6%,Oceania,$0B,$0B,12/1/2002
2.9%,,147,Below Threshold,"$1,835",1.5-3%,71,Friendly,Tonga,,,,$0,$0B,5.0%,$92,,0.015,3%,0.114,73,69,3%,1,0.382,0.559,0.059,0.1M,23.1%,Oceania,$0B,$0B,12/1/2002
3.1%,,84,Below Threshold,"$1,354",Above 3%,69,Friendly,Vanuatu,,,,$0,$0B,3.8%,$52,,0.019,4%,0.074,70,67,3%,1,0.408,0.56,0.033,0.2M,22.2%,Oceania,$0B,$0B,12/1/2002
2.0%,,363,Below Threshold,"$10,078",1.5-3%,74,Friendly,Antigua and Barbuda,,,,"$9,376",$1B,4.3%,$433,,0.012,13%,0.114,76,71,48%,1,0.29,0.64,0.07,0.1M,31.1%,The Americas,$0B,$0B,12/1/2002
1.8%,,123266,Below Threshold,"$3,295",1.5-3%,75,Moderate,Argentina,,,55386,$0,$124B,8.3%,$225,,0.017,11%,0.517,78,71,18%,1,0.273,0.626,0.101,37.6M,89.5%,The Americas,$2B,$3B,12/1/2002
1.3%,,2255,Below Threshold,"$20,434",Below 1.5%,74,Not Clustered,Aruba,,,,"$18,752",$2B,,,,,19%,0.131,76,71,65%,1,0.225,0.695,0.079,0.1M,46.0%,The Americas,$1B,$0B,12/1/2002
1.6%,,1577,Below Threshold,"$22,515",1.5-3%,73,Friendly,"Bahamas, The",,,,"$18,752",$7B,5.3%,"$1,183",,0.013,18%,0.06,76,70,39%,1,0.279,0.664,0.057,0.3M,82.1%,The Americas,$2B,$0B,12/1/2002
1.3%,,1228,Below Threshold,"$11,756",Below 1.5%,74,Friendly,Barbados,,,,"$9,376",$3B,7.4%,$677,,0.015,28%,0.085,76,71,36%,1,0.214,0.672,0.114,0.3M,33.5%,The Americas,$1B,$0B,12/1/2002
2.8%,,359,Below Threshold,"$3,705",1.5-3%,72,Moderate,Belize,,,,$0,$1B,4.4%,$162,,0.02,6%,0.148,75,68,21%,1,0.393,0.565,0.042,0.3M,47.1%,The Americas,$0B,$0B,12/1/2002
1.3%,,524,Below Threshold,"$62,583",Below 1.5%,79,Not Clustered,Bermuda,,,,"$60,944",$4B,,,,,52%,,81,76,47%,1,,,,0.1M,100.0%,The Americas,$0B,$0B,12/1/2002
3.0%,,9567,Below Threshold,$894,Above 3%,64,Low,Bolivia,,,3527,$0,$8B,6.5%,$58,,0.052,3%,0.206,66,62,12%,1,0.393,0.564,0.043,8.8M,62.8%,The Americas,$0B,$0B,12/1/2002
2.0%,,332267,Below Threshold,"$2,809",1.5-3%,71,Moderate,Brazil,,,195759,$0,$504B,7.2%,$203,,0.025,9%,0.629,75,67,19%,1,0.287,0.655,0.057,179.4M,81.9%,The Americas,$2B,$3B,12/1/2002
1.1%,,519163,Below Threshold,"$24,010",Below 1.5%,80,Very Friendly,Canada,,,248220,"$23,440",$753B,9.6%,"$2,254",,0.005,62%,0.042,82,77,38%,1,0.186,0.687,0.128,31.4M,79.9%,The Americas,$13B,$14B,12/1/2002
,,469,Below Threshold,,Above 3%,,Not Clustered,Cayman Islands,,,,,,,,,,,,,,43%,1,,,,0.0M,100.0%,The Americas,$1B,,12/1/2002
1.6%,,55361,Below Threshold,"$4,487",1.5-3%,78,Very Friendly,Chile,,,25568,$0,$71B,7.5%,$331,,0.008,22%,0.078,81,75,40%,1,0.267,0.658,0.075,15.8M,86.6%,The Americas,$1B,$1B,12/1/2002
2.2%,,55661,Below Threshold,"$2,376",1.5-3%,72,Very Friendly,Colombia,,,25205,$0,$98B,5.7%,$135,,0.02,5%,0.163,75,68,11%,1,0.32,0.631,0.049,41.2M,72.7%,The Americas,$1B,$1B,12/1/2002
1.9%,,6326,Below Threshold,"$4,115",1.5-3%,78,Moderate,Costa Rica,,,3073,$0,$17B,8.0%,$332,,0.01,20%,0.264,80,76,12%,1,0.3,0.644,0.056,4.1M,61.8%,The Americas,$1B,$0B,12/1/2002
1.2%,,26091,Below Threshold,"$2,996",Below 1.5%,77,Not Clustered,Cuba,,,11729,$0,$34B,6.5%,$195,,0.006,4%,,79,75,0%,1,0.209,0.689,0.103,11.2M,75.8%,The Americas,$2B,,12/1/2002
,,,Below Threshold,,Above 3%,,Not Clustered,Curacao,,,,,,,,,,,,,,,1,0.234,0.656,0.11,0.1M,90.9%,The Americas,$0B,$0B,12/1/2002
1.5%,,103,Below Threshold,"$4,684",1.5-3%,77,Friendly,Dominica,,,,$0,$0B,5.1%,$237,,0.013,18%,0.11,79,75,17%,1,,,,0.1M,65.7%,The Americas,$0B,$0B,12/1/2002
2.4%,,21500,Below Threshold,"$2,974",1.5-3%,71,Moderate,Dominican Republic,,,7476,$0,$27B,6.3%,$176,,0.032,7%,0.261,74,68,19%,1,0.342,0.604,0.054,8.9M,63.4%,The Americas,$3B,$0B,12/1/2002
2.5%,,24690,Below Threshold,"$2,191",1.5-3%,74,Moderate,Ecuador,,,9177,$0,$29B,4.8%,$105,,0.026,4%,0.158,77,71,12%,1,0.338,0.609,0.053,13.0M,61.1%,The Americas,$0B,$1B,12/1/2002
2.3%,,6040,Below Threshold,"$2,381",1.5-3%,70,Moderate,El Salvador,,,4232,$0,$14B,7.7%,$184,,0.024,2%,,75,65,15%,1,0.374,0.568,0.058,6.0M,60.0%,The Americas,$1B,$0B,12/1/2002
1.7%,,539,Below Threshold,"$20,653",1.5-3%,68,Not Clustered,Greenland,,,,"$18,752",$1B,,,,,44%,,71,65,35%,1,,,,0.1M,82.1%,The Americas,,,12/1/2002
1.9%,,205,Below Threshold,"$5,332",1.5-3%,71,Moderate,Grenada,,,,"$4,688",$1B,6.6%,$353,,0.013,15%,0.113,73,68,7%,1,0.33,0.592,0.077,0.1M,36.1%,The Americas,$0B,$0B,12/1/2002
3.6%,,11096,Below Threshold,"$1,766",Above 3%,69,Friendly,Guatemala,,,7248,$0,$21B,6.2%,$110,,0.037,3%,0.169,72,65,13%,1,0.438,0.521,0.042,11.8M,45.9%,The Americas,$1B,$0B,12/1/2002
2.2%,,1580,Below Threshold,$962,1.5-3%,64,Moderate,Guyana,,,,$0,$1B,5.8%,$56,,0.037,,0.163,67,60,11%,1,0.358,0.6,0.042,0.8M,28.5%,The Americas,$0B,$0B,12/1/2002
3.0%,,1826,Below Threshold,$363,Above 3%,58,Low,Haiti,,,2309,$0,$3B,5.5%,$20,,0.071,1%,0.342,60,56,2%,1,0.394,0.566,0.04,8.9M,38.9%,The Americas,$0B,$0B,12/1/2002
3.0%,,6091,Below Threshold,"$1,197",Above 3%,71,Moderate,Honduras,,,3380,$0,$8B,7.3%,$88,,0.029,3%,0.227,73,69,5%,1,0.414,0.545,0.04,6.5M,46.6%,The Americas,$0B,$0B,12/1/2002
1.8%,,10301,Below Threshold,"$3,716",1.5-3%,71,Friendly,Jamaica,,,3586,$0,$10B,4.9%,$180,,0.019,6%,0.185,74,68,47%,1,0.321,0.604,0.076,2.6M,52.3%,The Americas,$1B,$0B,12/1/2002
2.3%,,391251,Below Threshold,"$6,953",1.5-3%,75,Very Friendly,Mexico,,,150843,"$4,688",$742B,5.6%,$396,,0.019,12%,0.082,77,72,24%,1,0.334,0.615,0.051,106.7M,75.4%,The Americas,$10B,$7B,12/1/2002
2.7%,,4037,Below Threshold,$995,1.5-3%,71,Moderate,Nicaragua,,,2636,$0,$5B,5.7%,$57,,0.03,2%,0.183,74,68,5%,1,0.397,0.565,0.039,5.2M,55.2%,The Americas,$0B,$0B,12/1/2002
2.3%,,5871,Below Threshold,"$3,861",1.5-3%,76,Friendly,Panama,,,2625,$0,$12B,8.0%,$310,,0.021,9%,0.106,78,73,17%,1,0.316,0.627,0.057,3.2M,62.8%,The Americas,$1B,$0B,12/1/2002
2.7%,,3898,Below Threshold,"$1,135",1.5-3%,71,Moderate,Paraguay,,,3885,$0,$6B,7.0%,$79,,0.026,2%,0.387,73,69,30%,1,0.372,0.582,0.045,5.6M,56.6%,The Americas,$0B,$0B,12/1/2002
2.3%,,27187,Below Threshold,"$2,020",1.5-3%,72,Very Friendly,Peru,,,11873,$0,$54B,4.8%,$102,,0.026,9%,0.208,74,69,9%,1,0.333,0.617,0.051,26.7M,73.9%,The Americas,$1B,$1B,12/1/2002
1.4%,,,Below Threshold,"$18,973",Below 1.5%,78,Very Friendly,Puerto Rico,,,,"$18,752",$73B,,,,,18%,,82,74,43%,1,0.23,0.653,0.117,3.8M,94.3%,The Americas,$2B,$1B,12/1/2002
,,,Below Threshold,,Above 3%,,Not Clustered,Sint Maarten (Dutch part),,,,,,,,,,,,,,,1,,,,0.0M,100.0%,The Americas,$0B,$0B,12/1/2002
1.7%,,198,Below Threshold,"$10,186",1.5-3%,72,Friendly,St. Kitts and Nevis,,,,"$9,376",$0B,3.7%,$374,,0.012,21%,0.109,74,69,11%,1,,,,0.0M,32.4%,The Americas,$0B,$0B,12/1/2002
1.8%,,326,Below Threshold,"$4,513",1.5-3%,72,Friendly,St. Lucia,,,,$0,$1B,6.4%,$289,,0.015,15%,0.126,74,70,9%,1,0.308,0.619,0.073,0.2M,26.3%,The Americas,$0B,$0B,12/1/2002
1.7%,,,Below Threshold,,1.5-3%,78,Not Clustered,St. Martin (French part),,,,,,,,,,,,81,74,,1,,,,0.0M,,The Americas,,,12/1/2002
1.9%,,187,Below Threshold,"$4,278",1.5-3%,71,Friendly,St. Vincent and the Grenadines,,,,$0,$0B,3.9%,$168,,0.019,6%,0.116,73,68,9%,1,0.302,0.627,0.071,0.1M,45.9%,The Americas,$0B,$0B,12/1/2002
2.2%,,2252,Below Threshold,"$2,246",1.5-3%,69,Low,Suriname,,,,$0,$1B,7.1%,$161,,0.029,4%,0.222,72,65,23%,1,0.303,0.639,0.059,0.5M,66.6%,The Americas,$0B,$0B,12/1/2002
1.5%,,26890,Below Threshold,"$7,050",1.5-3%,69,Friendly,Trinidad and Tobago,,,12540,"$4,688",$9B,5.0%,$352,,0.025,22%,0.125,73,65,21%,1,0.238,0.694,0.068,1.3M,10.4%,The Americas,$0B,$0B,12/1/2002
,,99,Below Threshold,,Above 3%,,Not Clustered,Turks and Caicos Islands,,,,,,,,,,,,,,,1,,,,0.0M,86.0%,The Americas,$0B,,12/1/2002
1.4%,,5650950,Above Threshold,"$38,244",Below 1.5%,77,Very Friendly,United States,,,2255957,"$37,504","$11,000B",15.1%,"$5,578",,0.007,59%,0.047,80,74,49%,1,0.21,0.667,0.123,287.6M,79.4%,The Americas,$104B,$82B,12/1/2002
1.6%,,4620,Below Threshold,"$4,089",1.5-3%,75,Friendly,Uruguay,,,2538,$0,$14B,11.0%,$449,,0.014,11%,1.184,79,71,15%,1,0.243,0.624,0.133,3.3M,92.6%,The Americas,$0B,$0B,12/1/2002
2.3%,,193262,Below Threshold,"$3,667",1.5-3%,73,Low,Venezuela,,,57515,$0,$93B,5.7%,$207,,0.017,5%,0.366,76,70,26%,1,0.327,0.625,0.047,25.3M,88.4%,The Americas,$0B,$2B,12/1/2002
2.0%,,92533,Below Threshold,"$2,056",1.5-3%,70,Low,Algeria,25,,30698,$0,$68B,3.6%,$74,,0.031,2%,0.081,71,68,4%,1,0.307,0.651,0.042,33.0M,62.3%,Africa,$0B,$0B,12/1/2003
5.0%,,9065,Below Threshold,$920,Above 3%,48,Low,Angola,119,,9004,$0,$14B,4.9%,$45,,0.125,0%,0.961,49,46,2%,1,0.477,0.498,0.025,15.4M,34.6%,Africa,$0B,$0B,12/1/2003
4.1%,,2321,Below Threshold,$464,Above 3%,57,Low,Benin,32,,2386,$0,$4B,4.6%,$21,,0.082,1%,,58,55,3%,1,0.449,0.522,0.028,7.7M,39.3%,Africa,$0B,$0B,12/1/2003
2.6%,,4265,Below Threshold,"$4,099",1.5-3%,48,Friendly,Botswana,107,,1907,$0,$8B,4.3%,$190,,0.051,3%,0.164,48,47,24%,1,0.367,0.602,0.031,1.8M,54.6%,Africa,$0B,$0B,12/1/2003
4.5%,,1078,Below Threshold,$332,Above 3%,52,Low,Burkina Faso,40,,,$0,$4B,5.5%,$19,,0.091,0%,,53,51,2%,1,0.466,0.508,0.026,12.7M,20.0%,Africa,$0B,$0B,12/1/2003
4.3%,,165,Below Threshold,$108,Above 3%,49,Low,Burundi,13,,,$0,$1B,7.2%,$6,,0.082,0%,0.182,50,48,1%,1,0.468,0.504,0.028,7.3M,8.9%,Africa,$0B,$0B,12/1/2003
4.1%,,3795,Below Threshold,$791,Above 3%,52,Low,Cameroon,45,,6766,$0,$14B,4.9%,$39,,0.084,1%,0.18,53,51,6%,1,0.447,0.52,0.033,17.2M,47.3%,Africa,$0B,$0B,12/1/2003
3.8%,,235,Below Threshold,$298,Above 3%,45,Low,Central African Republic,22,,,$0,$1B,4.4%,$13,,0.112,0%,0.18,46,43,1%,1,0.421,0.539,0.04,3.8M,37.9%,Africa,$0B,$0B,12/1/2003
5.0%,,381,Below Threshold,$294,Above 3%,47,Low,Chad,64,,,$0,$3B,5.8%,$17,,0.103,0%,0.18,48,46,1%,1,0.492,0.481,0.027,9.3M,21.7%,Africa,,,12/1/2003
3.9%,,99,Below Threshold,$569,Above 3%,59,Low,Comoros,,,,$0,$0B,3.6%,$21,,0.072,1%,0.118,60,57,0%,1,0.414,0.556,0.03,0.6M,27.9%,Africa,$0B,$0B,12/1/2003
4.7%,,1698,Below Threshold,$175,Above 3%,48,Low,Congo (Kinshasa),166,,18503,$0,$9B,5.1%,$6,,0.111,0%,,49,46,2%,1,0.464,0.508,0.028,51.0M,36.5%,Africa,,,12/1/2003
3.9%,,1085,Below Threshold,"$1,039",Above 3%,53,Low,Congo (Brazzaville),37,,999,$0,$3B,2.6%,$27,,0.07,1%,0.18,54,52,10%,1,0.421,0.544,0.036,3.4M,60.1%,Africa,$0B,$0B,12/1/2003
3.7%,,5460,Below Threshold,$812,Above 3%,47,Low,Cote d'Ivoire,62,,6578,$0,$14B,5.1%,$42,,0.094,1%,,47,46,8%,1,0.422,0.548,0.029,16.9M,45.5%,Africa,$0B,$1B,12/1/2003
2.9%,,407,Below Threshold,$824,1.5-3%,58,Low,Djibouti,,,,$0,$1B,6.2%,$50,,0.075,1%,0.113,59,56,3%,1,0.39,0.578,0.032,0.8M,76.7%,Africa,$0B,$0B,12/1/2003
2.4%,,147963,Below Threshold,"$1,194",1.5-3%,70,Moderate,Egypt,37,,48971,$0,$83B,5.6%,$56,,0.029,4%,0.135,72,67,8%,1,0.335,0.61,0.054,69.4M,42.9%,Africa,$5B,$1B,12/1/2003
3.8%,,6018,Below Threshold,"$4,370",Above 3%,48,Low,Equatorial Guinea,,,,$0,$2B,2.0%,$101,,0.092,1%,0.18,49,47,7%,1,0.415,0.551,0.034,0.6M,38.8%,Africa,,,12/1/2003
4.0%,,726,Below Threshold,$195,Above 3%,58,Low,Eritrea,,,804,$0,$1B,3.2%,$6,,0.051,,,60,55,,1,0.446,0.535,0.019,4.5M,18.3%,Africa,$0B,,12/1/2003
4.1%,,4947,Below Threshold,$118,Above 3%,55,Moderate,Ethiopia,46,,27648,$0,$8B,4.9%,$6,,0.079,0%,0.07,55,54,0%,1,0.465,0.504,0.031,72.0M,15.3%,Africa,$0B,$0B,12/1/2003
3.3%,,1335,Below Threshold,"$4,602",Above 3%,60,Low,Gabon,,,1593,$0,$6B,3.8%,$174,,0.053,3%,0.18,61,58,23%,1,0.399,0.543,0.057,1.3M,82.2%,Africa,$0B,$0B,12/1/2003
4.5%,,315,Below Threshold,$361,Above 3%,56,Low,"Gambia, The",,,,$0,$0B,4.2%,$15,,0.059,2%,0.293,57,55,11%,1,0.459,0.515,0.026,1.3M,50.6%,Africa,$0B,$0B,12/1/2003
3.4%,,7631,Below Threshold,$376,Above 3%,58,Friendly,Ghana,22,,8226,$0,$8B,4.8%,$18,,0.06,1%,,59,57,4%,1,0.407,0.561,0.032,20.3M,46.0%,Africa,$0B,$0B,12/1/2003
4.1%,,1342,Below Threshold,$374,Above 3%,52,Low,Guinea,40,,,$0,$3B,4.9%,$18,,0.092,1%,,52,52,1%,1,0.438,0.529,0.033,9.2M,32.1%,Africa,,$0B,12/1/2003
4.1%,,194,Below Threshold,$342,Above 3%,52,Low,Guinea-Bissau,,,,$0,$0B,5.8%,$20,,0.101,1%,,53,51,0%,1,0.431,0.539,0.03,1.4M,39.2%,Africa,$0B,$0B,12/1/2003
3.9%,,6755,Below Threshold,$440,Above 3%,53,Moderate,Kenya,60,,14769,$0,$15B,4.4%,$20,,0.065,3%,0.166,54,52,5%,1,0.432,0.541,0.028,33.9M,20.9%,Africa,$1B,$0B,12/1/2003
3.0%,,,Below Threshold,$510,Above 3%,44,Moderate,Lesotho,93,,,$0,$1B,7.1%,$36,,0.083,2%,0.16,44,44,7%,1,0.404,0.55,0.046,1.9M,21.1%,Africa,$0B,$0B,12/1/2003
4.1%,,532,Below Threshold,$131,Above 3%,54,Low,Liberia,,,,$0,$0B,3.4%,$5,,0.097,0%,0.171,54,53,2%,1,0.432,0.537,0.03,3.1M,45.4%,Africa,,,12/1/2003
2.3%,,49167,Below Threshold,"$4,437",1.5-3%,73,Low,Libya,,,17441,$0,$24B,4.1%,$194,,0.022,3%,0.07,75,71,2%,1,0.315,0.644,0.041,5.4M,76.7%,Africa,$0B,$1B,12/1/2003
3.9%,,1701,Below Threshold,$317,Above 3%,61,Moderate,Madagascar,67,,,$0,$5B,4.8%,$15,,0.061,0%,0.243,62,59,2%,1,0.452,0.518,0.029,17.2M,27.9%,Africa,$0B,$0B,12/1/2003
4.3%,,957,Below Threshold,$198,Above 3%,47,Low,Malawi,45,,,$0,$2B,6.3%,$13,,0.084,0%,0.489,47,47,1%,1,0.461,0.509,0.03,12.2M,14.9%,Africa,$0B,$0B,12/1/2003
4.8%,,539,Below Threshold,$389,Above 3%,51,Low,Mali,41,,,$0,$4B,6.2%,$24,,0.105,0%,,50,51,2%,1,0.462,0.506,0.032,11.2M,30.5%,Africa,$0B,$0B,12/1/2003
3.7%,,1474,Below Threshold,$527,Above 3%,61,Low,Mauritania,82,,,$0,$2B,5.4%,$23,,0.076,0%,0.21,62,59,12%,1,0.42,0.548,0.032,3.0M,51.6%,Africa,,,12/1/2003
1.6%,,3146,Below Threshold,"$4,588",1.5-3%,73,Very Friendly,Mauritius,,,,$0,$6B,3.9%,$188,,0.014,12%,0.21,76,69,38%,1,0.249,0.687,0.064,1.2M,42.0%,Africa,$1B,$0B,12/1/2003
2.1%,,37561,Below Threshold,"$1,684",1.5-3%,69,Friendly,Morocco,36,,11018,$0,$50B,5.3%,$88,,0.038,3%,0.126,70,67,25%,1,0.32,0.631,0.049,29.6M,54.3%,Africa,$4B,$1B,12/1/2003
4.5%,,1918,Below Threshold,$235,Above 3%,48,Moderate,Mozambique,153,,8063,$0,$5B,6.4%,$15,,0.099,0%,0.247,49,46,2%,1,0.444,0.525,0.032,19.9M,29.6%,Africa,$0B,$0B,12/1/2003
3.0%,,1874,Below Threshold,"$2,489",Above 3%,54,Friendly,Namibia,85,,1076,$0,$5B,6.5%,$162,,0.049,3%,0.147,56,52,11%,1,0.401,0.565,0.033,2.0M,34.7%,Africa,$0B,$0B,12/1/2003
5.2%,,880,Below Threshold,$223,Above 3%,53,Low,Niger,35,,,$0,$3B,6.8%,$15,,0.09,0%,,53,53,1%,1,0.486,0.489,0.025,12.3M,16.5%,Africa,$0B,$0B,12/1/2003
4.3%,,93138,Below Threshold,$510,Above 3%,48,Moderate,Nigeria,36,,99007,$0,$68B,7.5%,$39,,0.103,1%,0.207,48,47,2%,1,0.435,0.538,0.028,132.6M,37.4%,Africa,$0B,$2B,12/1/2003
3.9%,,682,Below Threshold,$202,Above 3%,52,Friendly,Rwanda,18,,,$0,$2B,6.3%,$13,,0.083,0%,0.171,53,51,1%,1,0.452,0.521,0.027,9.1M,17.6%,Africa,$0B,$0B,12/1/2003
3.7%,,66,Below Threshold,$687,Above 3%,64,Low,Sao Tome and Principe,,,,$0,$0B,11.8%,$78,,0.052,10%,0.296,66,62,3%,1,0.426,0.534,0.04,0.1M,56.3%,Africa,$0B,$0B,12/1/2003
3.9%,,5013,Below Threshold,$643,Above 3%,60,Low,Senegal,59,,2556,$0,$7B,5.4%,$35,,0.062,2%,,61,58,7%,1,0.445,0.524,0.032,10.7M,40.8%,Africa,$0B,$0B,12/1/2003
1.8%,,557,Below Threshold,"$8,492",1.5-3%,71,Friendly,Seychelles,,,,"$4,688",$1B,4.8%,$403,,0.012,15%,0.106,76,66,59%,1,0.258,0.664,0.078,0.1M,50.6%,Africa,$0B,$0B,12/1/2003
4.3%,,653,Above Threshold,$291,Above 3%,41,Moderate,Sierra Leone,26,,,$0,$1B,15.5%,$45,,0.133,0%,0.2,41,40,2%,1,0.428,0.548,0.024,4.7M,36.4%,Africa,$0B,$0B,12/1/2003
4.7%,,576,Below Threshold,,Above 3%,52,Not Clustered,Somalia,,,,,,,,,0.105,0%,,53,50,3%,1,0.476,0.495,0.029,8.0M,34.4%,Africa,,,12/1/2003
2.3%,,380811,Below Threshold,"$3,620",1.5-3%,53,Very Friendly,South Africa,38,,117374,$0,$168B,8.6%,$310,,0.053,7%,0.15,54,51,36%,1,0.316,0.645,0.039,46.4M,58.4%,Africa,$7B,$4B,12/1/2003
4.1%,,,Below Threshold,,Above 3%,50,Low,South Sudan,,,,,,,,,0.095,,,51,49,,1,0.444,0.525,0.031,7.4M,16.9%,Africa,,,12/1/2003
3.9%,,9072,Below Threshold,$589,Above 3%,59,Moderate,Sudan,,,14725,$0,$18B,3.8%,$23,,0.064,1%,,61,57,1%,1,0.435,0.535,0.03,30.0M,32.7%,Africa,$0B,$0B,12/1/2003
3.2%,,1041,Below Threshold,"$1,704",Above 3%,46,Moderate,Swaziland,,,,$0,$2B,5.8%,$98,,0.082,2%,0.146,46,46,8%,1,0.43,0.539,0.031,1.1M,22.3%,Africa,$0B,$0B,12/1/2003
4.2%,,3806,Below Threshold,$317,Above 3%,52,Moderate,Tanzania,28,,15491,$0,$12B,3.7%,$12,,0.066,1%,0.145,53,51,4%,1,0.446,0.524,0.03,36.8M,23.6%,Africa,$1B,$0B,12/1/2003
3.9%,,1463,Below Threshold,$318,Above 3%,54,Low,Togo,65,,2303,$0,$2B,5.6%,$18,,0.072,1%,,55,53,5%,1,0.433,0.539,0.028,5.3M,34.3%,Africa,$0B,$0B,12/1/2003
1.7%,,21397,Below Threshold,"$2,790",1.5-3%,73,Very Friendly,Tunisia,11,,8028,$0,$27B,5.4%,$151,,0.022,7%,,75,71,20%,1,0.272,0.663,0.065,9.8M,64.6%,Africa,$2B,$0B,12/1/2003
